no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
0,457,0.202181,,,,
0,458,0.214381,,,,
0,459,0.209125,,,,
0,460,0.212035,,,,
0,461,0.214009,,,,
0,462,0.21241,,,,
0,463,0.211176,,,,
0,464,0.211046,,,,
0,465,0.209995,,,,
0,466,0.216384,,,,
0,467,0.208303,,,,
0,468,0.209056,,,,
0,469,0.213636,,,,
0,470,0.206793,,,,
0,471,0.210725,,,,
0,472,0.212632,,,,
0,473,0.261503,,,,
0,474,0.276185,,,,
0,475,0.198633,,,,
0,476,0.197243,,,,
0,477,0.203052,,,,
0,478,0.201768,,,,
0,479,0.204693,,,,
0,480,0.215728,,,,
0,481,0.210048,,,,
0,482,0.209357,,,,
0,483,0.215947,,,,
0,484,0.212789,,,,
0,485,0.206841,,,,
0,486,0.212809,,,,
0,487,0.207613,,,,
0,488,0.208101,,,,
0,489,0.211657,,,,
0,490,0.212683,,,,
0,491,0.212286,,,,
0,492,0.283116,,,,
0,493,0.20219,,,,
1,494,0.206242,white,0.00146,hatchback,0.071094
1,495,0.204732,silver,0.001487,hatchback,0.074728
1,496,0.207198,white,0.001501,hatchback,0.211624
1,497,0.19902,silver,0.001468,hatchback,0.070061
1,498,0.282162,silver,0.001465,hatchback,0.074442
1,499,0.216749,white,0.001648,hatchback,0.212244
1,500,0.218979,white,0.00146,hatchback,0.07176
1,501,0.269443,white,0.001497,hatchback,0.071682
1,502,0.228618,white,0.001562,hatchback,0.209416
1,503,0.208045,white,0.001492,hatchback,0.071328
1,504,0.198719,silver,0.001485,hatchback,0.073235
1,505,0.206657,silver,0.001448,hatchback,0.071723
1,506,0.292473,silver,0.00148,hatchback,0.213265
1,507,0.206613,silver,0.001486,hatchback,0.071017
1,508,0.210752,silver,0.001475,hatchback,0.072694
1,509,0.28152,silver,0.001442,hatchback,0.205594
1,510,0.207267,silver,0.001449,hatchback,0.073466
1,511,0.204966,silver,0.001465,hatchback,0.073038
1,512,0.199888,silver,0.001449,hatchback,0.207042
1,513,0.205155,silver,0.00145,hatchback,0.070633
1,514,0.206036,silver,0.001462,hatchback,0.073634
1,515,0.207413,silver,0.001472,hatchback,0.210294
1,516,0.206007,silver,0.001463,hatchback,0.071125
1,517,0.207282,white,0.001474,hatchback,0.071747
1,518,0.232828,silver,0.001462,hatchback,0.071683
1,519,0.197306,silver,0.00149,hatchback,0.210517
1,520,0.214329,silver,0.001455,hatchback,0.071056
1,521,0.211671,silver,0.001494,hatchback,0.071828
0,522,0.205007,,,,
0,523,0.268972,,,,
